filename,width,height,sign_class
2020_0510_192839_015 532_mirrored_0.jpg,178,196,A-2
2020_0213_153817_007 0747_0.jpg,74,72,A-6d
2019_0905_182313_001 0458_mirrored_0.jpg,71,80,C-10
2020_0213_161248_008 1258_0.jpg,172,181,A-32
2020_0510_185408_014 1787_0.jpg,30,29,B-33
2020_0215_110207_010 458_0.jpg,88,108,C-9
2019_0927_153929_042 0445_0.jpg,51,52,B-33
2019_1030_162407_042 1550_mirrored_0.jpg,51,57,C-10
2019_0719_142601_003 0658_mirrored_0.jpg,30,25,A-6c
2020_0508_164957_013 458_0.jpg,72,66,D-2
2020_0229_092307_019 172_0.jpg,92,80,A-30
2020_0413_162855_009 1684_0.jpg,50,46,A-29
2019_0920_161014_042 1066_0.jpg,78,71,B-34
2019_0929_143436_042 0630_0.jpg,35,51,D-8
2020_0301_154208_025 1517_0.jpg,38,32,A-32
2019_0929_143436_042 0296_0.jpg,80,69,A-30
2020_0313_172757_002 1359_0.jpg,88,76,A-18b
2020_0620_165601_008 095_0.jpg,85,90,B-43
2019_1223_092421_001 1445_0.jpg,51,48,D-1
2019_1223_092421_001 0623_0.jpg,131,114,A-30
2020_0510_185408_014 0530_0.jpg,57,59,B-36
2020_0313_172757_002 0365_mirrored_0.jpg,45,46,A-6e
2019_1030_165838_043 0672_0.jpg,39,36,A-6c
2020_0321_094429_005 0048_0.jpg,49,54,B-36
2019_0922_153729_042 0412_0.jpg,40,38,A-18b
2020_0215_121321_011 162_0.jpg,124,121,D-1
2020_0620_165147_004 26_0.jpg,95,95,D-6
2019_0830_154511_013 26_0.jpg,98,94,D-1
2020_0620_165147_004 18_0.jpg,91,107,D-6
2019_0814_154857_003 1027_0.jpg,110,114,B-33
2019_0816_175356_008 422_0.jpg,106,83,A-7
2020_0313_172757_002 1768_0.jpg,127,120,A-16
2019_0927_153929_042 1077_0.jpg,43,61,D-15
2020_0508_164957_013 667_0.jpg,122,124,D-1
2019_0929_143436_042 1501_mirrored_0.jpg,67,69,C-10
2019_1030_165838_043 1335_0.jpg,100,108,C-12
2020_0508_161529_012 1095_0.jpg,26,21,A-6d
2020_0313_172757_002 1537_0.jpg,59,65,B-41
2019_0927_161359_043 1764_0.jpg,58,59,B-33
2020_0620_165601_008 078_0.jpg,62,84,D-1
2020_0313_180335_003 1884_0.jpg,63,65,D-6
2020_0313_180335_003 0325_0.jpg,34,31,C-9
2019_0920_164444_043 0114_0.jpg,78,88,B-8
2020_0215_102737_009 1820_0.jpg,153,159,D-6
2020_0313_180335_003 1790_0.jpg,75,76,A-3
2020_0215_110207_010 780_0.jpg,47,50,D-1
2019_1226_135624_005 294_0.jpg,45,47,D-6
2020_0301_140337_021 178_0.jpg,67,65,A-15
2020_0213_153817_007 1813_mirrored_0.jpg,61,74,C-10
2020_0508_161529_012 0117_0.jpg,55,53,A-32
2019_0920_161014_042 0421_mirrored_0.jpg,45,49,A-6e
2020_0313_180335_003 0449_0.jpg,69,62,A-16
2019_1030_165838_043 0024_mirrored_0.jpg,75,80,C-10
2019_0920_161014_042 0183_0.jpg,100,100,C-12
2020_0510_192839_015 137_0.jpg,37,36,B-33
2020_0215_110207_010 596_0.jpg,55,104,D-15
2020_0620_165914_009 35_0.jpg,110,86,D-41
2020_0213_161248_008 1501_0.jpg,49,49,D-6
2020_0229_074421_016 0384_0.jpg,60,57,C-9
2020_0508_164957_013 455_0.jpg,70,55,A-8
2020_0413_162855_009 0828_0.jpg,194,115,D-43
2020_0510_185408_014 1206_0.jpg,106,100,A-18b
2020_0301_150739_024 1877_0.jpg,57,61,D-1
2019_0929_154947_042 811_0.jpg,53,61,D-6
2020_0620_165016_002 43_0.jpg,135,168,B-44
2019_0920_164444_043 0035_0.jpg,91,86,A-30
2020_0213_153817_007 1407_0.jpg,55,67,C-9
2019_0905_182313_001 2050_0.jpg,45,55,D-23
2020_0508_161529_012 0620_0.jpg,65,74,B-26
2020_0621_110041_024 07_0.jpg,35,51,B-20
2020_0413_162855_009 0531_0.jpg,63,63,B-36
2019_0809_162432_004 1257_0.jpg,55,217,G-1a
2019_0719_142601_003 0983_0.jpg,15,59,G-1a
2019_1030_162407_042 1234_0.jpg,75,100,D-15
2020_0313_180335_003 0933_mirrored_0.jpg,172,157,A-4
2019_0816_172034_007 0406_0.jpg,182,195,B-34
2020_0508_164957_013 482_0.jpg,69,74,C-9
2020_0413_162855_009 1909_0.jpg,48,47,A-6c
2019_1223_092421_001 1713_mirrored_0.jpg,64,61,A-1
2020_0621_110041_024 16_0.jpg,88,149,B-20
2019_1030_162407_042 1747_0.jpg,89,106,C-9
2020_0215_102737_009 0721_0.jpg,56,46,A-18b
2019_0929_150907_043 0807_mirrored_1.jpg,85,79,A-6e
2020_0213_161248_008 0623_0.jpg,117,120,A-16
2020_0313_172757_002 0798_0.jpg,38,38,B-25
2020_0301_150739_024 0708_0.jpg,37,38,D-6
2019_0816_172034_007 1045_0.jpg,74,100,D-15
2020_0410_165628_008 621_0.jpg,35,38,D-15
2019_0811_190715_005 568_mirrored_0.jpg,100,88,A-6e
2019_0901_173251_015 1242_0.jpg,84,90,D-21
2020_0620_170003_010 66_0.jpg,180,246,D-6
2019_0814_154857_003 0815_0.jpg,63,61,D-21
2020_0620_171225_017 01_0.jpg,77,86,D-4a
2020_0508_164957_013 617_0.jpg,102,106,D-1
2019_0905_182313_001 0739_0.jpg,133,140,D-1
2020_0229_081851_017 294_0.jpg,61,61,D-1
2019_0920_161014_042 0734_0.jpg,36,40,B-26
2019_1223_092421_001 0424_0.jpg,53,51,C-9
2019_0927_161359_043 0708_0.jpg,96,88,A-17
2019_0922_153729_042 0924_0.jpg,72,61,A-30
2020_0510_185408_014 0904_mirrored_0.jpg,104,92,A-3
2020_0621_105816_022 12_0.jpg,106,90,A-29
2020_0321_094429_005 0344_0.jpg,63,108,D-29
2019_1226_135624_005 291_0.jpg,109,111,B-20
2019_1223_114427_004 0215_0.jpg,124,157,D-51
2019_0815_094007_006 435_0.jpg,161,155,B-33
2019_0901_165821_014 0780_0.jpg,90,94,B-33
2019_1030_162407_042 0402_0.jpg,53,64,B-36
2019_1223_110958_003 1310_0.jpg,143,90,D-42
2019_0920_164444_043 0964_0.jpg,57,61,C-9
2019_1129_162626_042 1591_0.jpg,104,73,G-3
2019_1030_162407_042 0510_0.jpg,70,63,B-36
2019_0929_154947_042 716_0.jpg,82,94,B-25
2020_0215_121321_011 142_mirrored_0.jpg,92,102,C-10
2020_0301_150739_024 1373_0.jpg,75,49,D-43
2020_0510_192839_015 470_0.jpg,49,56,B-33
2020_0229_074421_016 1823_0.jpg,50,53,B-25
2020_0410_162215_007 1055_0.jpg,92,100,B-33
2020_0301_154208_025 0776_0.jpg,42,47,D-23a
2020_0215_121321_011 461_0.jpg,96,100,A-11a
2020_0313_180335_003 0721_mirrored_0.jpg,35,37,C-10
2020_0321_094429_005 0500_0.jpg,51,76,D-15
2019_0905_182313_001 0072_0.jpg,68,62,A-7
2020_0620_165016_002 42_0.jpg,153,179,B-44
2020_0413_162855_009 1980_0.jpg,117,109,A-18b
2019_1030_162407_042 0165_0.jpg,62,29,D-53
2020_0229_092307_019 090_0.jpg,68,69,D-6
2020_0620_165601_008 152_0.jpg,120,118,D-6
2019_1030_162407_042 1264_0.jpg,29,33,D-23
2020_0215_102737_009 1816_0.jpg,87,87,B-36
2020_0510_185408_014 1974_0.jpg,48,45,C-9
2019_0901_165821_014 1822_0.jpg,55,49,B-25
2019_0815_090538_005 0691_mirrored_0.jpg,100,164,C-10
2019_0814_154857_003 0603_0.jpg,59,67,C-13-C-16
2019_1223_110958_003 1950_0.jpg,36,41,D-6
2020_0313_172757_002 1174_0.jpg,94,114,C-9
2019_0818_131042_009 0621_0.jpg,66,67,A-7
2020_0321_094429_005 0914_0.jpg,65,90,D-8
2019_0929_150907_043 0043_0.jpg,66,57,A-18b
2019_0929_154947_042 299_0.jpg,84,90,D-6
2019_0929_154947_042 001_0.jpg,92,88,A-7
2020_0508_161529_012 1961_0.jpg,75,87,D-24
2020_0620_165601_008 113_0.jpg,107,122,D-6
2020_0510_185408_014 0705_mirrored_0.jpg,33,31,A-2
2019_0901_173251_015 1049_0.jpg,60,51,A-18b
2020_0413_162855_009 0690_0.jpg,43,56,D-15
2020_0508_161529_012 1672_0.jpg,61,61,A-6a
2020_0413_162855_009 0617_0.jpg,45,53,D-15
2019_0905_182313_001 1064_mirrored_0.jpg,43,53,C-10
2019_0814_162326_004 1653_0.jpg,115,139,D-1
2020_0510_185408_014 1819_0.jpg,47,75,D-15
2019_0920_164444_043 0333_0.jpg,43,47,A-30
2020_0510_192839_015 750_0.jpg,46,41,D-2
2020_0321_094429_005 0270_0.jpg,28,30,A-32
2019_0922_153729_042 1802_0.jpg,38,33,A-7
2020_0301_154208_025 0401_0.jpg,40,38,A-6a
2020_0321_094429_005 1647_mirrored_0.jpg,151,185,A-1
2020_0410_162215_007 0354_mirrored_0.jpg,51,45,A-1
2019_0901_173251_015 0397_0.jpg,63,68,C-9
2019_0905_182313_001 0280_0.jpg,102,92,C-5
2019_1223_114427_004 1054_0.jpg,69,102,A-7
2020_0215_102737_009 1794_0.jpg,58,60,D-1
2020_0313_180335_003 1304_0.jpg,108,69,D-43
2019_0927_153929_042 0208_0.jpg,79,84,D-6
2020_0313_172757_002 0210_mirrored_0.jpg,61,53,A-6e
2020_0213_153817_007 1278_0.jpg,126,137,B-25
2020_0321_094429_005 0218_0.jpg,202,226,D-tablica
2019_0927_161359_043 1966_0.jpg,63,80,C-12
2020_0410_162215_007 1196_mirrored_0.jpg,36,36,C-10
2019_0922_161159_043 255_0.jpg,34,41,B-33
2019_0927_164829_044 002_0.jpg,91,88,D-1
2019_0815_090538_005 1605_0.jpg,49,65,D-6b
2019_0901_173251_015 1276_mirrored_0.jpg,51,43,A-6e
2019_0929_154947_042 073_0.jpg,81,79,D-1
2019_0814_162326_004 0023_0.jpg,31,98,G-1a
2020_0410_165628_008 211_mirrored_0.jpg,166,158,A-1
2019_0818_134512_010 153_0.jpg,116,106,B-25
2020_0229_074421_016 2004_mirrored_0.jpg,47,49,C-10
2019_0815_090538_005 0216_0.jpg,96,83,A-12a
2020_0620_170258_013 14_0.jpg,27,34,D-18
2020_0213_161248_008 1214_0.jpg,71,72,B-33
2019_0920_161014_042 0283_0.jpg,39,47,C-5
2019_0815_090538_005 1782_0.jpg,45,57,D-15
2019_0920_164444_043 0713_0.jpg,137,139,D-1
2019_0927_161359_043 2055_0.jpg,49,41,A-29
2019_1030_165838_043 0549_mirrored_0.jpg,47,41,A-3
2019_1030_162407_042 0312_0.jpg,53,63,B-33
2020_0508_161529_012 0004_0.jpg,61,61,C-12
2020_0620_165601_008 112_0.jpg,102,104,D-6
2019_0927_164829_044 069_0.jpg,42,41,B-33
2019_0920_164444_043 0590_0.jpg,88,77,A-18b
2020_0301_133023_020 1727_0.jpg,45,37,B-25
2019_0905_182313_001 1281_0.jpg,39,47,C-9
2020_0301_154208_025 0188_0.jpg,96,90,A-32
2019_0929_143436_042 1659_0.jpg,204,245,B-25
2020_0413_162855_009 0251_0.jpg,70,80,C-2
2020_0313_180335_003 1695_0.jpg,55,51,D-1
2019_0920_161014_042 0166_0.jpg,26,35,B-2
2020_0301_154208_025 0947_0.jpg,54,51,A-30
2019_0815_094007_006 240_0.jpg,49,53,D-1
2019_0922_153729_042 1103_0.jpg,53,57,A-12a
2019_1030_162407_042 0381_0.jpg,32,28,B-33
2020_0229_084843_018 1709_0.jpg,46,43,A-6a
2019_0920_164444_043 0940_0.jpg,102,118,C-9
2020_0313_172757_002 1302_mirrored_0.jpg,136,161,C-10
2019_0814_162326_004 0431_0.jpg,45,59,B-33
2019_0920_161014_042 0150_0.jpg,69,74,A-21
2020_0321_094429_005 1117_0.jpg,38,34,B-33
2019_0901_173251_015 0313_0.jpg,54,56,A-6a
2019_0818_131042_009 1434_mirrored_0.jpg,110,94,A-6b
2020_0215_102737_009 0969_0.jpg,95,124,C-9
2020_0301_150739_024 0841_0.jpg,127,120,A-18b
2020_0508_161529_012 1712_0.jpg,73,78,B-8
2020_0508_164957_013 577_0.jpg,59,55,A-7
2020_0621_110502_026 17_0.jpg,340,322,B-43
2019_0818_131042_009 0790_0.jpg,141,128,D-6
2020_0508_164957_013 578_0.jpg,63,61,A-7
2020_0321_094429_005 1530_mirrored_0.jpg,96,88,A-6b
2020_0313_180335_003 0325_mirrored_0.jpg,34,31,C-10
2019_0920_164444_043 0309_mirrored_0.jpg,65,86,C-10
2019_0905_182313_001 0715_0.jpg,77,77,D-1
2020_0229_084843_018 0792_0.jpg,164,164,B-25
2019_0927_153929_042 0247_0.jpg,43,55,C-13-C-16
2020_0508_164957_013 558_0.jpg,180,184,B-36
2020_0301_150739_024 0247_mirrored_0.jpg,169,149,A-6b
2019_1030_162407_042 1935_mirrored_0.jpg,92,94,C-10
2019_0922_153729_042 0281_0.jpg,125,143,B-36
2020_0301_133023_020 1568_0.jpg,67,63,B-25
2019_0830_154511_013 70_0.jpg,41,52,B-2
2020_0213_161248_008 1151_0.jpg,42,61,D-8
2020_0620_165601_008 113_1.jpg,51,55,B-36
2019_0815_094007_006 085_0.jpg,53,47,C-9
2019_1223_114427_004 0190_0.jpg,63,90,D-15
2020_0301_154208_025 1281_0.jpg,38,35,A-6d
2020_0313_180335_003 0139_0.jpg,78,63,A-16
2019_1030_165838_043 1337_0.jpg,81,106,B-5
2020_0508_161529_012 1679_0.jpg,92,90,A-12a
2020_0413_162855_009 1654_0.jpg,33,35,B-26
2019_0927_161359_043 0103_mirrored_0.jpg,75,82,C-10
2020_0321_094429_005 1472_mirrored_0.jpg,100,106,C-10
2020_0620_165601_008 166_0.jpg,62,69,B-44
2020_0510_192839_015 531_mirrored_0.jpg,67,67,A-2
2019_0901_165821_014 1019_0.jpg,87,72,A-30
2020_0301_133023_020 1262_0.jpg,119,73,D-42
2020_0313_172757_002 0375_0.jpg,79,84,A-32
2019_0818_131042_009 1019_0.jpg,328,289,G-3
2019_0901_165821_014 1308_0.jpg,45,46,A-29
2019_0818_131042_009 0153_0.jpg,108,53,D-42
2020_0620_170442_014 23_0.jpg,51,55,D-6
2020_0321_094429_005 0050_0.jpg,165,160,B-36
2020_0621_110041_024 17_0.jpg,71,65,D-1
2020_0410_162215_007 1429_0.jpg,34,35,C-9
2020_0215_110207_010 394_mirrored_0.jpg,86,75,A-6c
2019_0929_154947_042 115_0.jpg,35,34,B-21
2020_0410_165628_008 082_mirrored_0.jpg,54,52,A-2
2019_0929_150907_043 0044_0.jpg,69,69,B-33
2020_0213_153817_007 1528_0.jpg,68,36,G-3
2019_0905_182313_001 0857_0.jpg,139,141,B-36
2020_0508_164957_013 576_mirrored_0.jpg,75,84,C-10
2019_0816_172034_007 0169_mirrored_0.jpg,98,86,A-2
2020_0301_133023_020 1948_0.jpg,92,92,A-16
2020_0321_094429_005 0986_0.jpg,67,73,C-9
2020_0301_133023_020 1821_0.jpg,61,53,D-18
2020_0508_164957_013 078_0.jpg,72,67,C-9
2019_1030_165838_043 0431_0.jpg,128,149,B-25
2020_0321_094429_005 0112_0.jpg,33,37,B-36
2020_0621_105156_019 41_0.jpg,46,60,D-15
2020_0229_074421_016 1411_0.jpg,141,153,B-25
2019_1129_162626_042 0073_0.jpg,72,78,D-1
2020_0301_154208_025 0048_0.jpg,40,39,B-27
2019_0927_153929_042 0621_mirrored_0.jpg,55,59,A-6e
2019_0905_182313_001 1236_mirrored_0.jpg,80,75,B-22
2019_0719_142601_003 1953_mirrored_0.jpg,31,31,A-2
2019_0920_161014_042 0421_0.jpg,45,49,A-6d
2019_1129_162626_042 1779_0.jpg,82,92,A-6a
2020_0213_161248_008 1213_0.jpg,39,46,B-33
2020_0321_094429_005 1277_0.jpg,55,53,C-9
2019_1030_162407_042 1331_0.jpg,41,41,A-6b
2020_0229_074421_016 1439_0.jpg,119,82,D-43
2020_0508_164957_013 590_0.jpg,55,60,D-1
2020_0229_081851_017 542_0.jpg,55,68,D-3
2019_1030_165838_043 0019_0.jpg,51,51,B-33
2020_0510_185408_014 0347_0.jpg,55,55,D-1
2019_0927_161359_043 1232_0.jpg,59,45,D-42
2019_0818_131042_009 0272_0.jpg,31,33,B-33
2020_0621_110146_025 13_0.jpg,145,170,B-20
2019_0929_143436_042 0305_0.jpg,71,88,C-9
2020_0229_074421_016 2045_0.jpg,74,79,B-33
2020_0620_170003_010 77_0.jpg,114,61,D-52
2020_0301_154208_025 0483_0.jpg,44,48,D-28
2020_0301_140337_021 118_0.jpg,66,61,D-6
2019_1129_162626_042 0481_0.jpg,94,73,D-43
2019_0814_162326_004 0706_0.jpg,49,88,A-6a
2020_0313_180335_003 1896_0.jpg,65,63,B-9
2019_0929_154947_042 258_0.jpg,43,45,D-6
2019_0814_154857_003 0752_0.jpg,30,46,D-26
2020_0410_162215_007 1494_0.jpg,94,96,C-9
2020_0301_154208_025 0423_0.jpg,45,40,A-30
2020_0508_161529_012 0249_0.jpg,55,55,A-11
2020_0313_180335_003 1292_0.jpg,52,51,D-1
2019_0814_162326_004 1619_0.jpg,37,34,D-1
2019_0922_153729_042 0214_0.jpg,56,63,D-1
2020_0508_164957_013 194_0.jpg,75,89,B-18
2019_0927_161359_043 1507_0.jpg,37,43,C-9
2019_1223_092421_001 1211_0.jpg,48,47,D-6
2019_0815_090538_005 1240_0.jpg,54,63,C-13-C-16
2020_0229_084843_018 1496_0.jpg,70,64,A-32
2020_0508_161529_012 0418_0.jpg,32,32,A-7
2019_0901_173251_015 0007_0.jpg,43,42,A-29
2020_0229_084843_018 1181_0.jpg,45,45,D-6
2020_0410_162215_007 1047_0.jpg,61,67,A-32
2020_0313_183912_004 052_0.jpg,127,120,A-16
2019_0929_150907_043 0310_mirrored_0.jpg,43,49,C-10
2020_0620_170442_014 22_0.jpg,32,31,B-36
2019_0901_165821_014 1158_0.jpg,57,60,D-18
2020_0410_162215_007 1874_0.jpg,37,38,B-33
2019_1223_092421_001 0492_0.jpg,51,51,B-33
2020_0301_140337_021 396_0.jpg,164,168,A-18b
2020_0215_110207_010 787_0.jpg,80,111,A-16
2020_0313_172757_002 1187_mirrored_0.jpg,45,34,A-6b
2019_0905_182313_001 0674_mirrored_0.jpg,96,106,C-10
2019_1129_162626_042 0280_0.jpg,77,73,B-33
2019_0929_154947_042 351_0.jpg,67,57,A-24
2019_1223_092421_001 1201_0.jpg,86,81,B-33
2020_0313_172757_002 1843_0.jpg,42,35,A-30
2020_0229_074421_016 1487_mirrored_0.jpg,63,54,A-6b
2020_0301_150739_024 0307_0.jpg,47,46,A-30
2020_0301_150739_024 0590_0.jpg,66,84,D-15
2020_0321_094429_005 1094_0.jpg,63,67,B-25
2019_0929_143436_042 0130_mirrored_0.jpg,65,73,C-10
2019_0927_161359_043 0859_0.jpg,60,51,B-25
2019_0901_165821_014 1990_0.jpg,28,29,B-33
2019_0920_161014_042 1691_0.jpg,47,59,A-12a
2020_0313_180335_003 1114_mirrored_0.jpg,47,43,A-1
2019_1226_135624_005 297_0.jpg,52,74,B-43
2019_0929_143436_042 0158_0.jpg,41,39,A-7
2019_0726_185626_003 283_mirrored_0.jpg,35,27,A-2
2020_0301_140337_021 375_0.jpg,61,56,D-26c
2020_0620_165601_008 071_0.jpg,52,55,D-1
2020_0321_094429_005 0318_0.jpg,25,26,B-36
2020_0213_161248_008 0795_0.jpg,77,81,B-6-B-8-B-9
2020_0413_162855_009 0140_0.jpg,92,112,D-15
2019_0815_090538_005 0314_0.jpg,75,70,B-36
2020_0413_162855_009 2058_mirrored_0.jpg,37,35,B-22
2020_0410_162215_007 0181_0.jpg,141,147,D-tablica
2020_0213_153817_007 1276_mirrored_0.jpg,71,59,A-6c
2020_0229_074421_016 0956_0.jpg,33,35,D-6
2020_0229_084843_018 0790_0.jpg,38,35,B-33
2020_0213_153817_007 0209_0.jpg,96,98,A-7
2020_0301_154208_025 1932_0.jpg,72,63,A-30
2019_0901_173251_015 0552_0.jpg,40,55,D-7
2020_0229_074421_016 0732_0.jpg,46,48,D-1
2019_0901_173251_015 1316_0.jpg,28,35,B-33
2019_1030_162407_042 1168_0.jpg,41,41,A-20
2020_0510_185408_014 1094_0.jpg,52,51,B-36
2020_0313_183912_004 291_0.jpg,54,45,D-2
2020_0321_094429_005 1104_0.jpg,60,80,D-26
2019_0922_153729_042 0959_0.jpg,39,40,B-33
2020_0229_074421_016 1502_0.jpg,80,73,A-4
2020_0301_150739_024 1357_0.jpg,45,61,D-15
2019_0901_173251_015 1166_0.jpg,96,126,D-23
2020_0410_165628_008 691_0.jpg,57,64,B-36
2020_0213_153817_007 1143_0.jpg,45,48,A-6d
2019_0818_131042_009 0768_0.jpg,100,110,A-7
2020_0215_110207_010 724_0.jpg,78,63,A-11
2019_0905_182313_001 1024_mirrored_0.jpg,50,64,C-10
2020_0321_094429_005 1602_mirrored_0.jpg,88,104,C-10
2020_0229_084843_018 0479_0.jpg,49,55,D-18
2020_0510_192839_015 125_0.jpg,171,159,A-29
2020_0229_084843_018 1904_0.jpg,58,62,A-16
2020_0301_154208_025 1182_0.jpg,89,112,D-7
2020_0301_154208_025 0597_0.jpg,234,163,D-43
2019_0816_172034_007 0491_0.jpg,92,120,D-15
2020_0620_165601_008 062_0.jpg,53,61,B-43
2020_0313_172757_002 0798_1.jpg,42,36,B-33
2019_0929_154947_042 264_0.jpg,80,74,A-12a
2020_0301_133023_020 1900_0.jpg,61,98,B-1
2020_0510_185408_014 1604_0.jpg,133,143,A-18b
2020_0229_084843_018 0326_0.jpg,60,77,D-21
2019_0818_134512_010 224_0.jpg,206,98,D-42
2019_0929_154947_042 262_0.jpg,88,90,C-9
2019_0905_182313_001 0053_0.jpg,53,53,C-16
2019_0927_153929_042 0500_0.jpg,63,61,B-33
2020_0215_102737_009 1024_0.jpg,134,179,A-4
2019_1223_114427_004 0015_0.jpg,79,73,A-17
2019_0927_153929_042 1627_mirrored_0.jpg,80,84,C-10
2019_0927_161359_043 0522_mirrored_0.jpg,57,67,C-10
2020_0510_185408_014 1792_0.jpg,96,98,A-29
2019_1030_165838_043 1493_0.jpg,117,116,C-12
2019_0905_182313_001 1806_mirrored_0.jpg,33,24,C-10
2020_0229_084843_018 0474_0.jpg,90,86,D-6
2019_0929_150907_043 0166_0.jpg,44,44,B-33
2020_0313_172757_002 1848_0.jpg,44,46,B-25
2019_1223_114427_004 0347_0.jpg,83,82,B-21
2020_0620_170258_013 60_0.jpg,78,56,D-40
2020_0301_140337_021 072_0.jpg,106,104,B-21
2020_0413_162855_009 1935_mirrored_0.jpg,51,59,C-10
2020_0510_185408_014 1090_mirrored_0.jpg,47,49,C-4
2020_0410_162215_007 1427_0.jpg,51,49,B-33
2019_0920_161014_042 1793_0.jpg,116,130,A-6a
2020_0510_185408_014 0033_0.jpg,121,123,A-7
2019_1223_110958_003 1119_0.jpg,111,114,B-25
2020_0229_081851_017 353_mirrored_0.jpg,63,62,A-3
2020_0313_172757_002 0216_0.jpg,37,36,B-33
2019_0901_165821_014 0129_0.jpg,82,86,D-1
2019_1030_162407_042 2031_0.jpg,69,59,A-30
2020_0215_110207_010 466_0.jpg,93,108,C-9
2020_0229_074421_016 1364_0.jpg,39,39,A-1
2020_0215_102737_009 1784_mirrored_0.jpg,93,137,C-10
2020_0215_110207_010 053_0.jpg,70,65,A-17
2019_1030_162407_042 0558_0.jpg,27,30,D-27
2020_0413_170324_010 363_0.jpg,48,45,A-32
2020_0620_170144_011 16_0.jpg,98,104,D-6
2019_1030_162407_042 2044_0.jpg,39,47,C-9
2020_0229_084843_018 0466_0.jpg,82,85,D-6
2019_0929_143436_042 1871_0.jpg,55,53,B-33
